triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0100100111_00_1,y,0,3.916453ms,24.371963ms,20.228394142s,20.256682558s
00100000_000_11,y,0,4.137165ms,36.386284ms,22.716231436s,22.756754885s
00111_0111_0000,y,0,4.305431ms,30.071915ms,22.389785771s,22.424163117s
00101000_0111_1,y,0,3.831797ms,28.281819ms,19.049441001s,19.081554617s
011000_0100_111,y,0,3.819367ms,27.197833ms,20.408069579s,20.439086779s
0100110111_00_1,y,0,3.774028ms,23.635321ms,19.666462627s,19.693871976s
0001000_0000_11,y,0,3.911566ms,33.293718ms,21.469115169s,21.506320453s
00111_00100_011,y,0,3.990479ms,24.670584ms,20.441513195s,20.470174258s
01111_00111_000,y,0,4.451987ms,31.761042ms,22.117353487s,22.153566516s
0111111_0100_11,y,0,4.033198ms,32.104053ms,22.152360795s,22.188498046s
011111_10111_00,y,0,4.058056ms,32.242285ms,22.207194329s,22.24349467s
0101111_0111_00,y,0,4.170932ms,25.523508ms,20.515419998s,20.545114438s
01000100_111_00,y,0,3.960302ms,29.935354ms,20.470701593s,20.504597249s
01111111_111_00,y,0,3.89566ms,36.273356ms,24.425676585s,24.465845601s
0110000_1111_00,y,0,4.329017ms,34.772419ms,23.279087895s,23.318189331s
01011011_0000_1,y,0,3.802443ms,26.821538ms,18.820735488s,18.851359469s
0101010000_00_1,y,0,3.931014ms,24.015631ms,18.69803539s,18.725982035s
01111111_0100_1,y,0,4.002137ms,32.311808ms,21.677703144s,21.714017089s
0011111_00000_1,y,0,4.152765ms,35.949569ms,25.106249648s,25.146351982s
010111_001000_1,y,0,3.732392ms,28.954906ms,19.979994189s,20.012681487s
0110010000_00_1,y,0,4.04118ms,26.521391ms,21.62343641s,21.653998981s
011110111_000_1,y,0,3.685082ms,32.730702ms,20.386040553s,20.422456337s
011111_0100_111,y,0,3.933885ms,30.919246ms,22.026597786s,22.061450917s
0010111_011_000,y,0,4.096804ms,24.661149ms,20.347146309s,20.375904262s
010001111_11_00,y,0,3.726905ms,27.976711ms,21.828404308s,21.860107924s
